Time,Speaker,Transcripts,,,,,,
0:00,Eunice,"A little bit awkward but So just again, your participation in the study of voluntary you may change your mind about participation even even if you've provided us with consent. You don't have to answer any questions you don't want to answer, you can withdraw at any point now or later, no consequences. And by participating in this will be regarded as having a promise to keep confidential the identities of their fellow participants into contact statements made by fellow participants. So the first question is, have you ever encountered a homeless person or homeless people before",,,,,,
0:40,Ashlynn,Like in the United States?,,,,,,
0:45,Eunice,What did you notice about him/her?,,,,,,
0:49,Ashlynn,"Like, I felt sad for them? Like, it shouldn't be like that. Yeah.",,,,,,
0:55,Eunice,Sorry. I'm just gonna check captions your audio. Okay. What do you think contributes to people being homeless?,,,,,,
1:08,Ashlynn,"Where they are, like, like where they are residents in like, the area where they're from, where you're born, which family they're born into? And then what else just like that. Government, like how their support system is built? ",,,,,,
1:30,Eunice,What challenges do you think they are experiencing and what ways do you think homeless people could be helped?,,,,,,
1:38,Ashlynn,"felt like, I mean, first of all, I think everybody should have a roof on their head. And that I'm not home im like an international students at home, they do it so that, like, if somebody is homeless, they're like, provided a place where they can go, sleep. And then like, if you're like, unemployed, you will get some money from the government to like, like, make a living. And it's basically like, the minimum salary. So it's like, kind of good money. So that's kind of the issue there that like, oh, some people are just like, unemployment because they want like, the same amount, but don't want to work. So they get like for free. ",,,,,,
2:25,Eunice,And then we're gonna move on to just prior experience and perception on engineering design. So have you had design experience before?,,,,,,
2:39,Ashlynn,"Yeah, a little bit. Because I did like couple of classes.",,,,,,
2:43,Eunice,Can you describe like anything that you've like designed before?,,,,,,
2:46,Ashlynn,"Like, my freshman year, they were like, just like the intro introduction classes I took with we just design like, it just was, like planes and that kind of stuff. You know, like, made from like, I don't know, sticks, or like paper or stuff like that. And I like like this kind of problem solving stuff.",,,,,,
3:15,Eunice,And so you say you create planes. How did you? How did you feel during that experience?,,,,,,
3:22,Ashlynn,"like at the time it was a very basic, so I felt like, Oh, this is like kids playing around. But that's what it's engineering is. Yeah.",,,,,,
3:37,Eunice,What do you think about when you hear the phrase engineering design? ,,,,,,
3:45,Ashlynn,"That's some of the physics in it. Yeah, I mean, like, I think it's, I'm just like interested, interested. And I think like, for example, like we use, like the 3d printers, that kind of stuff. So",,,,,,
4:02,Eunice,Very cool. Okay. Have you ever heard about humanizing engineering design?,,,,,,
4:10,Ashlynn,"probably the same terminology? I think that means like, making like, you know, biomedical engineering, like creating like, new body parts or something like that.",,,,,,
4:24,Eunice,"Do you think that humans play a role in engineering design? If so, in what ways? ",,,,,,
4:32,Ashlynn,Humans?,,,,,,
4:33,Eunice,Yeah. Do you think they play a role in engineering design?,,,,,,
4:38,Ashlynn, of course they do ,,,,,,
4:39,Eunice,and in what ways are they contributing?,,,,,,
4:47,Ashlynn,"i mean machines, from my knowledge, can learn from the algorithm we write was I don't think can they like, actually, like you said, is there like a machine yet which works like human brain. i dont think so",,,,,,
5:06,Eunice,can you think of one failed design you've encountered in your life and why do you consider it as a failure?,,,,,,
5:12,Ashlynn,design..,,,,,,
5:16,Eunice,It doesn't have to be one that you made just any failed design you've seen in the world.,,,,,,
5:27,Ashlynn,a lot of stuff in like the US doesn't make sense to me but thats just because I'm not familiar. ,,,,,,
5:33,Eunice,no its okay can can you expand on some of those?,,,,,,
5:36,Ashlynn,um things just like the missing of you know like in kitchen when you have like your like plates glasses and everything like at home like when you open it the lowest one is the one when you can like put things to dry and this like open from the bottom but they like it's not anywhere else. It's not like that. You need to like dry stuff by hand or like have the machine. that's that's something I like saw,,,,,,
6:15,Eunice,do you like or enjoy playing with tech technology? ,,,,,,
6:19,Ashlynn,"Yeah, like but they're like I don't have the possibility to do that much like, like the opportunities I mean, I would be interested to I because I played solo for like 14 years, I would be like interested to like order the MIDI keyboard and like try to like produce music.",,,,,,
6:44,Eunice,So which technologies say you're like more? ,,,,,,
6:49,Ashlynn,"technology like i like all these like how they're ordering I woke up my Garmin I like all that like measuring your your data and that kind of stuff. And then yeah, that's pretty much",,,,,,
7:06,Eunice,"Very cool. Okay. And then this last question, what is it technology that you are currently excited about or looking forward to use?",,,,,,
7:17,Ashlynn,"i'm like interested like called the like, what was the next from like, all the information they get from like this? What's the next step?",,,,,,
7:27,Eunice,Okay. Thank you so much. Just to make sure all of this,,,,,,
