Time,Speaker,Transcripts,,,,,,
0:01,Eunice,"Okay, that should work. Again, your participation in the study is voluntary. You can change your mind about participation, even though you've provided us with your consent previously, and you don't have to answer any questions you don't want to. So the first set of questions is based on your VR experience. So can you explain describe your experience of being homeless in VR?",,,,,,
0:43,Ray,"it felt like i was there to an extent I think the resolution of it definitely took me out of it a little bit, because it was like a little fuzzy and blurry but otherwise, it didn't take away from the story being told like i was genuinely like I was fighting back tears it was tough.",,,,,,
1:01,Eunice,Okay. Can you describe one memorable moment you had in VR? And how did you feel?,,,,,,
1:08,Ray,"when I was watching the police officer like rummage through everything, and rocky had to watch everything going on that was definitely sad",,,,,,
1:20,Eunice,were there any moments and you felt like you were actually there. anything specifically with VR that made you feel that way? ,,,,,,
1:26,Ray,I think it was more immersive when it was like the 3d rendition of her tent And everything you could like actually pick it up. But when it was like the actual 360 camera was definitely less immersive.,,,,,,
1:41,Eunice,you kind of answered this but any moments you felt disconnected? And can you name some of these?,,,,,,
1:47,Ray,"yeah The stylistic parts with like the horse and the motorcycles. They were cool, because like the story they were telling were engaging, but it wasn't exactly like I was like there",,,,,,
2:01,Eunice,any moments when you felt limited or lacking in controls in VR?,,,,,,
2:09,Ray,"Yeah, well, that was, again, the 360 part. It's like apparent that you just have to stand there. Just kind of like turn around, but you can't exactly move through it. Whereas in the 3d one, you can walk around a little bit more.",,,,,,
2:25,Eunice,General generally speaking with what did you think about the whole VR experience?,,,,,,
2:28,Ray,"I thought it was good. I guess I wish that like somehow the 360 views can be like higher res. Or like, I know on like Google Earth, you can like somewhat walk around in it and like actually be in it. But otherwise, yeah. Like it didn't detract from what I was hearing, or the story being told, like, I still got everything. And it's still definitely like, made me emotional.",,,,,,
2:50,Eunice,"And then these next questions like, Would you do it again? And in what kinds of contexts?",,,,,,
2:58,Ray,"Yeah, I would definitely do it again. I would do it again in VR, because I know that there's a lot of other experiences like that on the store for you to participate in, like one that I can think of is, I think it's the experience of like being blind, I think it is on the Oculus Store. So it's just kind of like so like solely auditory, and like vibration based control tool.",,,,,,
3:22,Eunice,"Okay, and then the next set of questions is perception on homeless people. So what did you learn and experience in the VR video?",,,,,,
3:29,Ray,"It was definitely very humanizing it. Something I said, when we were talking was that I never really thought about how homeless people will try to make their environments more comforting and like, feel like a home, you just kind of tend to think of like they have the basic necessities and that's it. Whereas obviously, they can have more sentimental things that make them feel more comfortable.",,,,,,
3:54,Eunice,"So your question as when I asked you before, but what do you think contributes to people being homeless? And what ways do you think these causes can be addressed?",,,,,,
4:01,Ray,"I felt bad after saying the substance thing earlier. Especially because it didnt even like it was barely involved in the VR thing at all. But I do think that like, the majority of the time, it's out of a person's control like nobody asks to be homeless. I think just things go wrong in life and that's just where unfortunately a lot of people end up it's nobody's fault necessarily.",,,,,,
4:28,Eunice,"Beyond root causes, but do you think homeless people need the most are there any problems the homeless deal with that you weren't previously aware?",,,,,,
4:39,Ray,"I think they just need more like permanent places because you know, with like the police coming in always taking them out like she had to leave behind everything she has. Whether it be like a homeless shelter, or like you were saying like dedicated areas and places for homeless people to go that's just like a sense of like, permanency would probably give people comfort and make it feel like lives they lived previously.",,,,,,
5:08,Eunice,"Oh, and just Are there any problems that you weren't previously similar with?",,,,,,
5:16,Ray,"everything was important. I didn't really think about the safety or there's like, you can know, some of like the fellow people who kind of live in your community, but those that you don't know, you know, they're still a threat to you. ",,,,,,
5:31,Eunice,After the VR industry and this design experience do you feel more compelled to help homelessness? What actions are you considering?,,,,,,
5:41,Ray,"Yeah, I would say so I think that donating to causes that could go towards helping homeless people are important. It's something that I would definitely consider after experiencing it.",,,,,,
5:55,Eunice,And then the last set of questions is on the engineering design process. So what do you think of now when hear engineering desing?,,,,,,
6:03,Ray,"I think that it is more intuitive than maybe the first thought might be a lot of solutions seem very simple. But when you have to actually consider the constraints, and those involved in practical things you can do like the logistics become much more apparent than people typically just coming up with, like solutions for homeless people.",,,,,,
6:31,Eunice,and now what do you think of when you hear humanizing engineering design?,,,,,,
6:35,Ray,"I think that I would assume that it has to do with if you're engineering things that are meant to, you know, help other people flourish and have better lives, it's important to see it from their point of view. And you know, get first hand accounts instead of making assumptions on like, what's best for people if like youre obviously not in that position.",,,,,,
6:54,Eunice,which part of the design process was the most challenging for you?,,,,,,
7:02,Ray,"I think narrowing it down to like one solution. And more specifically, like a practical one is important because there's like so many subdivisions you can go into based on just the vague idea of like solving homelessness. So making that decision, and then going with it, knowing that you're like ignoring all the rest, it's kind of hard to do.",,,,,,
7:24,Eunice,"We kind of talked about it, but like, Are there any constraints in our final design? And how would you overcome these constraints?",,,,,,
7:33,Ray,"constraints were pushback from any administrative group. Or also just the fact that places with like, large populations of people doesn't necessarily mean they're the people who can solve the problem. If you put it in a city or at a school? Yeah, it's raising awareness, but awareness only goes so far. If it doesn't, like, like positively do anything. Yeah. So finding a way for it to get to a large amount of people in a certain demographic where they have the means to help homeless people is a constraint that would be like focusing on like YouTube that could focus on people and certain like, yeah, you know, financial groups or not, yeah.",,,,,,
8:17,Eunice,"If you were to like, come back and do this again, what changes would you make an exploration",,,,,,
8:23,Ray,"of the engineering process? probably going with the kind of the other group did like the actual physical lock going something more immediate rather than abstract or like, over time, like societal base would be important because although that is like a necessary change that society needs to make. That doesn't do good for the people and that situation at this very moment.",,,,,,
8:50,Eunice,"Okay, that was the last. Thank you.",,,,,,
,,,,,,,,
